District_Name,Total_Area,Total_Production,Avg_Yield
Ranchi,1228780.27,1420154.27,1.1557430605554888
Pakur,686970.82,820544.06,1.1944380112098505
Hazaribagh,419631.24,776499.3,1.8504325369102645
Dumka,536445.11,771674.67,1.438496978749606
East Singhbum,780464.0,677900.61,0.8685866484552779
Gumla,808764.5800000001,659465.63,0.8153987529968239
Giridih,450185.26,630942.73,1.4015179661813004
West Singhbhum,770914.98,590076.0599999999,0.7654230042332294
Godda,365560.81,510867.25,1.397489107215842
Palamu,441312.66000000003,492896.04,1.1168862456835023
Deoghar,360571.62,480747.44,1.3332925092662589
Lohardaga,259476.15,417571.4,1.6092862484663812
Saraikela Kharsawan,333181.02,369123.38,1.1078763730298922
Simdega,409989.3,340263.72000000003,0.829933171426669
Chatra,227214.36000000002,315837.42,1.390041632932003
Garhwa,265661.78,271651.18,1.0225452076696917
Sahebganj,268726.98,259210.55,0.9645869945771728
Jamtara,186450.78,235081.88,1.2608254038947975
Latehar,179382.76,202088.44,1.1265767122771442
Dhanbad,146777.75,198259.74,1.3507479164927927
Bokaro,158752.24,176086.42,1.1091901443406407
Koderma,102444.76,150303.56,1.4671668907223756
Ramgarh,1669.0,5472.0,3.2786099460754943
Khunti,1718.0,5024.0,2.9243306169965075
